,amount,amountBTC,date,globalTradeID,rate,total,tradeID,type
53,30.0,0.0056115,2017-05-18 15:45:52,134574226,0.00018705,0.0056115,7193824,sell
54,0.00076193,1.426942504e-07,2017-05-18 15:45:52,134574225,0.00018728,1.4e-07,7193823,buy
55,0.00106824,2.000599872e-07,2017-05-18 15:45:51,134574219,0.00018728,2e-07,7193822,buy
56,0.47788651,8.93599985049e-05,2017-05-18 15:45:51,134574207,0.00018699,8.935e-05,7193821,sell
57,28857.49864036,5.40385519539,2017-05-18 15:45:50,134574205,0.00018726,5.40385519,7193820,buy
58,1000.0,0.1872,2017-05-18 15:45:50,134574204,0.0001872,0.1872,7193819,buy
59,1296.19967725,0.242570807601,2017-05-18 15:45:50,134574203,0.00018714,0.2425708,7193818,buy
60,3486.55790712,0.652230387685,2017-05-18 15:45:50,134574202,0.00018707,0.65223038,7193817,buy
61,131.01297507,0.0245085972463,2017-05-18 15:45:50,134574201,0.00018707,0.02450859,7193816,buy
62,9238.81851629,1.72821339166,2017-05-18 15:45:50,134574200,0.00018706,1.72821339,7193815,buy
63,5347.87956576,1.0000534788,2017-05-18 15:45:50,134574199,0.000187,1.00005347,7193814,buy
64,5424.81638984,1.0144406649,2017-05-18 15:45:50,134574198,0.000187,1.01444066,7193813,buy
65,552.33224773,0.103286130326,2017-05-18 15:45:50,134574187,0.000187,0.10328613,7193812,buy
66,0.00063066,1.1793342e-07,2017-05-18 15:45:50,134574173,0.000187,1.1e-07,7193811,buy
67,499.92734951,0.0934864143584,2017-05-18 15:45:49,134574171,0.000187,0.09348641,7193810,buy
68,0.14161185,2.64799998315e-05,2017-05-18 15:45:48,134574168,0.00018699,2.647e-05,7193809,sell
69,2032.51216216,0.380059449202,2017-05-18 15:45:45,134574146,0.00018699,0.38005944,7193808,sell
70,0.00087326,1.63343283e-07,2017-05-18 15:45:39,134574084,0.00018705,1.6e-07,7193807,buy
71,121.07205241,0.0226392630801,2017-05-18 15:45:36,134574060,0.00018699,0.02263926,7193806,sell
72,293.81911426,0.0549618035135,2017-05-18 15:45:33,134574037,0.00018706,0.0549618,7193805,buy
73,5875.65328663,1.10045110405,2017-05-18 15:45:32,134574033,0.00018729,1.1004511,7193804,buy
74,1336.60814784,0.250319973927,2017-05-18 15:45:32,134574032,0.00018728,0.25031997,7193803,buy
75,795.85345528,0.148975808294,2017-05-18 15:45:32,134574031,0.00018719,0.1489758,7193802,buy
76,7428.78324494,1.38910817897,2017-05-18 15:45:31,134574028,0.00018699,1.38910817,7193801,sell
77,2594.04789208,0.48506101534,2017-05-18 15:45:31,134574027,0.00018699,0.48506101,7193800,sell
78,1.95284935,0.00036518282845,2017-05-18 15:45:31,134574026,0.000187,0.00036518,7193799,sell
79,1767.5444385,0.33053081,2017-05-18 15:45:31,134574025,0.000187,0.3305308,7193798,sell
80,1003.36233121,0.187628755936,2017-05-18 15:45:31,134574024,0.000187,0.18762875,7193797,sell
81,8329.73262033,1.55766,2017-05-18 15:45:31,134574023,0.000187,1.55766,7193796,sell
82,50.11737968,0.00937195000016,2017-05-18 15:45:31,134574022,0.000187,0.00937195,7193795,sell
83,56.48647059,0.0105629700003,2017-05-18 15:45:30,134574021,0.000187,0.01056297,7193794,sell
84,133.66839544,0.0249999999991,2017-05-18 15:45:30,134574020,0.00018703,0.02499999,7193793,sell
85,266.93316581,0.0499245100014,2017-05-18 15:45:30,134574019,0.00018703,0.04992451,7193792,sell
86,133.66839544,0.0249999999991,2017-05-18 15:45:30,134574018,0.00018703,0.02499999,7193791,sell
87,8421.79478982,1.57512827954,2017-05-18 15:45:30,134574017,0.00018703,1.57512827,7193790,sell
88,23261.28765685,4.35055863046,2017-05-18 15:45:26,134574005,0.00018703,4.35055863,7193789,sell
89,40.0,0.007482,2017-05-18 15:45:25,134574004,0.00018705,0.007482,7193788,sell
90,12300.0,2.300715,2017-05-18 15:45:25,134574003,0.00018705,2.300715,7193787,sell
91,17.45629511,0.00326520000033,2017-05-18 15:45:25,134574002,0.00018705,0.0032652,7193786,sell
92,13.33199678,0.0024937499977,2017-05-18 15:45:25,134574001,0.00018705,0.00249374,7193785,sell
93,5332.79871691,0.997499999998,2017-05-18 15:45:25,134574000,0.00018705,0.99749999,7193784,sell
94,5661.98005987,1.05912999,2017-05-18 15:45:25,134573999,0.00018706,1.05912998,7193783,sell
95,47759.43726611,8.933880335,2017-05-18 15:45:25,134573998,0.00018706,8.93388033,7193782,sell
96,880.35181225,0.164678609999,2017-05-18 15:45:25,134573997,0.00018706,0.1646786,7193781,sell
97,5413.94349709,1.01278641,2017-05-18 15:45:25,134573996,0.00018707,1.01278641,7193780,sell
98,59.3523149,0.0111030375483,2017-05-18 15:45:25,134573995,0.00018707,0.01110303,7193779,sell
99,3427.20559222,0.641127350137,2017-05-18 15:45:25,134573994,0.00018707,0.64112735,7193778,sell
100,500.0,0.093595,2017-05-18 15:45:23,134573946,0.00018719,0.093595,7193777,buy
101,0.01177457,2.2052592153e-06,2017-05-18 15:45:18,134573897,0.00018729,2.2e-06,7193776,buy
102,1000.0,0.18729,2017-05-18 15:45:15,134573878,0.00018729,0.18729,7193775,buy
103,665.6034851,0.124660876724,2017-05-18 15:45:13,134573866,0.00018729,0.12466087,7193774,buy
104,773.21911337,0.144646099538,2017-05-18 15:45:11,134573825,0.00018707,0.14464609,7193773,sell
105,49.99529612,0.00935311999813,2017-05-18 15:45:11,134573824,0.00018708,0.00935311,7193772,sell
106,0.00470387,8.799999996e-07,2017-05-18 15:45:10,134573820,0.00018708,8.7e-07,7193771,sell
107,58.16428896,0.0108807935357,2017-05-18 15:45:06,134573805,0.00018707,0.01088079,7193770,sell
108,211.39805005,0.0395948547744,2017-05-18 15:45:04,134573795,0.0001873,0.03959485,7193769,buy
109,1004.67357024,0.188175359706,2017-05-18 15:45:04,134573789,0.0001873,0.18817535,7193768,buy
110,951.26329833,0.178171615777,2017-05-18 15:45:04,134573788,0.0001873,0.17817161,7193767,buy
111,4.42657828,0.00082807999884,2017-05-18 15:45:03,134573785,0.00018707,0.00082807,7193766,sell
112,0.00038893,7.2846589e-08,2017-05-18 15:45:00,134573626,0.0001873,7e-08,7193765,buy
113,1.463e-05,2.740199e-09,2017-05-18 15:44:58,134573613,0.0001873,0.0,7193764,buy
114,155.858362,0.0291922712026,2017-05-18 15:44:57,134573607,0.0001873,0.02919227,7193763,buy
115,168.51498639,0.0315224133541,2017-05-18 15:44:57,134573598,0.00018706,0.03152241,7193762,sell
116,300.0,0.05619,2017-05-18 15:44:56,134573593,0.0001873,0.05619,7193761,buy
117,0.00045764,8.5715972e-08,2017-05-18 15:44:55,134573586,0.0001873,8e-08,7193760,buy
118,12485.35353066,2.33551023145,2017-05-18 15:44:55,134573575,0.00018706,2.33551023,7193759,sell
119,8.01367667,0.00149999999909,2017-05-18 15:44:55,134573574,0.00018718,0.00149999,7193758,sell
120,7538.80481126,1.41118887262,2017-05-18 15:44:55,134573573,0.00018719,1.41118887,7193757,sell
121,0.00049173,9.2101029e-08,2017-05-18 15:44:52,134573551,0.0001873,9e-08,7193756,buy
122,1295.92268487,0.242570808154,2017-05-18 15:44:51,134573546,0.00018718,0.2425708,7193755,buy
123,755.18991034,0.141265824628,2017-05-18 15:44:50,134573544,0.00018706,0.14126582,7193754,sell
124,4.42566158,0.000827819998539,2017-05-18 15:44:46,134573518,0.00018705,0.00082781,7193753,sell
125,555.0,0.10381275,2017-05-18 15:44:45,134573511,0.00018705,0.10381275,7193752,sell
126,489.53091636,0.0916940359434,2017-05-18 15:44:45,134573509,0.00018731,0.09169403,7193751,buy
127,1107.06301658,0.207231126074,2017-05-18 15:44:45,134573508,0.00018719,0.20723112,7193750,buy
128,52.47553986,0.00982289630639,2017-05-18 15:44:45,134573504,0.00018719,0.00982289,7193749,buy
129,0.01122694,2.099999127e-06,2017-05-18 15:44:42,134573481,0.00018705,2.09e-06,7193748,sell
130,136.31489884,0.0255167859139,2017-05-18 15:44:40,134573447,0.00018719,0.02551678,7193747,buy
131,15.14329502,0.00283255333349,2017-05-18 15:44:33,134573392,0.00018705,0.00283255,7193746,sell
132,398.76660332,0.074704935466,2017-05-18 15:44:23,134573307,0.00018734,0.07470493,7193745,buy
133,212.91318464,0.0398850268786,2017-05-18 15:44:23,134573306,0.00018733,0.03988502,7193744,buy
134,2014.69607135,0.377413015046,2017-05-18 15:44:23,134573305,0.00018733,0.37741301,7193743,buy
135,5015.16687783,0.938036812829,2017-05-18 15:44:23,134573303,0.00018704,0.93803681,7193742,sell
136,331.28307939,0.0619664999999,2017-05-18 15:44:23,134573302,0.00018705,0.06196649,7193741,sell
137,533.61792956,0.0999626467445,2017-05-18 15:44:22,134573297,0.00018733,0.09996264,7193740,buy
138,502.37558711,0.0941100187333,2017-05-18 15:44:19,134573284,0.00018733,0.09411001,7193739,buy
139,3000.0,0.56115,2017-05-18 15:44:18,134573276,0.00018705,0.56115,7193738,buy
140,1276.9391215,0.238838693285,2017-05-18 15:44:16,134573264,0.00018704,0.23883869,7193737,sell
141,0.807576,0.00015128321208,2017-05-18 15:44:13,134573250,0.00018733,0.00015128,7193736,buy
142,18295.49824637,3.42729568649,2017-05-18 15:44:12,134573238,0.00018733,3.42729568,7193735,buy
143,1219.33619486,0.228076835249,2017-05-18 15:44:12,134573237,0.00018705,0.22807683,7193734,buy
144,1296.82334324,0.242570806353,2017-05-18 15:44:12,134573236,0.00018705,0.2425708,7193733,buy
145,1133.00192453,0.211928009983,2017-05-18 15:44:12,134573235,0.00018705,0.211928,7193732,buy
146,0.00010692,1.99983168e-08,2017-05-18 15:44:11,134573230,0.00018704,1e-08,7193731,sell
147,1.504e-05,2.813232e-09,2017-05-18 15:44:08,134573210,0.00018705,0.0,7193730,buy
148,5.85065229,0.00109430600432,2017-05-18 15:44:08,134573207,0.00018704,0.0010943,7193729,sell
149,14781.58761836,2.76474814814,2017-05-18 15:44:06,134573196,0.00018704,2.76474814,7193728,sell
150,0.00010692,1.99983168e-08,2017-05-18 15:44:06,134573194,0.00018704,1e-08,7193727,sell
151,686.47054127,0.128404314745,2017-05-18 15:44:04,134573165,0.00018705,0.12840431,7193726,buy
152,399.0,0.07463295,2017-05-18 15:44:02,134573150,0.00018705,0.07463295,7193725,buy
153,20.01601281,0.00374399519611,2017-05-18 15:44:01,134573149,0.00018705,0.00374399,7193724,buy
154,59.73063521,0.011172615316,2017-05-18 15:43:59,134573146,0.00018705,0.01117261,7193723,buy
155,701.78087114,0.131268111947,2017-05-18 15:43:58,134573125,0.00018705,0.13126811,7193722,sell
156,3.54541574,0.000664304547204,2017-05-18 15:43:53,134573102,0.00018737,0.0006643,7193721,buy
157,6418.22391439,1.20258261484,2017-05-18 15:43:52,134573099,0.00018737,1.20258261,7193720,buy
158,17380.93360109,3.2564917195,2017-05-18 15:43:52,134573098,0.00018736,3.25649171,7193719,buy
159,1200.84248452,0.224977839475,2017-05-18 15:43:52,134573097,0.00018735,0.22497783,7193718,buy
160,266.07066836,0.0498483397172,2017-05-18 15:43:52,134573093,0.00018735,0.04984833,7193717,buy
161,590.0,0.1105424,2017-05-18 15:43:51,134573087,0.00018736,0.1105424,7193716,buy
162,1.0,0.00018705,2017-05-18 15:43:50,134573084,0.00018705,0.00018705,7193715,sell
163,1675.50136094,0.313921934986,2017-05-18 15:43:50,134573079,0.00018736,0.31392193,7193714,buy
164,700.56044836,0.131257005605,2017-05-18 15:43:49,134573077,0.00018736,0.131257,7193713,buy
165,1000.0,0.18736,2017-05-18 15:43:49,134573076,0.00018736,0.18736,7193712,buy
166,30.12279477,0.00564410805605,2017-05-18 15:43:46,134573051,0.00018737,0.0056441,7193711,buy
167,1.455212,0.0002724156864,2017-05-18 15:43:46,134573050,0.0001872,0.00027241,7193710,buy
168,60.0,0.0112422,2017-05-18 15:43:43,134573020,0.00018737,0.0112422,7193709,buy
169,37335.80606966,6.99560998327,2017-05-18 15:43:42,134573002,0.00018737,6.99560998,7193708,buy
